# Constructed from biom file
#OTU ID	SRR5699025	SRR5699026	SRR5699027	SRR5699028	SRR5699029	SRR5699030	SRR5699031	SRR5699032	SRR5699033	SRR5699034	SRR5699035	SRR5699036	SRR5699037	SRR5699038	SRR5699039	SRR5699040	SRR5699041	SRR5699042	SRR5699043	SRR5699044	SRR5699045	SRR5699046	SRR5699047	SRR5699048	SRR5699049	SRR5699050	SRR5699051	SRR5699052	SRR5699053	SRR5699054	SRR5699055	SRR5699056	SRR5699057	SRR5699058	SRR5699059	SRR5699060	SRR5699061	SRR5699062	SRR5699063	SRR5699064	SRR5699065	SRR5699066	SRR5699067	SRR5699068	SRR5699069	SRR5699070	SRR5699071	SRR5699072	SRR5699073	SRR5699074	SRR5699075	SRR5699076	SRR5699077	SRR5699078	SRR5699079	SRR5699080	SRR5699081	SRR5699082	SRR5699083	SRR5699084	SRR5699085	SRR5699086	SRR5699087	SRR5699088	SRR5699089	SRR5699090	SRR5699091	SRR5699092	SRR5699093	SRR5699094	SRR5699095	SRR5699096	SRR5699097	SRR5699098	SRR5699099	SRR5699100	SRR5699101	SRR5699102	SRR5699103	SRR5699104	SRR5699105	SRR5699106	SRR5699107	SRR5699108	SRR5699109	SRR5699110	SRR5699111	SRR5699112	SRR5699113	SRR5699114	SRR5699115	SRR5699116	SRR5699117	SRR5699118	SRR5699119	SRR5699120
2a061b82e7d21d2002bc01681e98010e	2190.0	188.0	7361.0	0.0	176.0	2171.0	57.0	936.0	857.0	0.0	1187.0	1178.0	681.0	1730.0	896.0	1162.0	949.0	920.0	0.0	1448.0	487.0	2573.0	1056.0	1625.0	0.0	618.0	575.0	500.0	621.0	277.0	766.0	55.0	866.0	239.0	0.0	1250.0	219.0	1263.0	1653.0	1700.0	2018.0	314.0	1003.0	285.0	7.0	1545.0	419.0	606.0	577.0	0.0	353.0	1728.0	0.0	900.0	238.0	1884.0	886.0	2038.0	516.0	1192.0	1074.0	585.0	1006.0	831.0	593.0	2033.0	316.0	1582.0	615.0	145.0	0.0	486.0	1235.0	0.0	569.0	1567.0	496.0	0.0	530.0	296.0	619.0	87.0	1022.0	230.0	1069.0	323.0	243.0	285.0	147.0	905.0	0.0	195.0	697.0	0.0	44.0	226.0
fc44f404b4d4696aabae6263150d7d3f	104.0	139.0	0.0	8.0	308.0	481.0	105.0	2772.0	1578.0	0.0	40.0	487.0	468.0	0.0	268.0	85.0	998.0	2321.0	1779.0	1039.0	3883.0	533.0	0.0	541.0	0.0	923.0	845.0	138.0	853.0	1248.0	213.0	273.0	112.0	0.0	0.0	1917.0	135.0	130.0	55.0	0.0	270.0	53.0	0.0	801.0	746.0	1926.0	166.0	510.0	0.0	0.0	182.0	393.0	727.0	445.0	496.0	2077.0	704.0	1219.0	597.0	2023.0	103.0	54.0	1153.0	950.0	226.0	2316.0	991.0	4197.0	558.0	1916.0	68.0	478.0	293.0	0.0	262.0	740.0	43.0	345.0	0.0	342.0	0.0	3933.0	575.0	476.0	312.0	72.0	151.0	287.0	1903.0	138.0	0.0	476.0	592.0	0.0	15.0	2326.0
4ea55325694641619c2f89618d647835	28.0	284.0	17.0	7.0	157.0	1350.0	17.0	748.0	900.0	0.0	2676.0	110.0	1540.0	0.0	291.0	100.0	1156.0	762.0	269.0	325.0	1423.0	1845.0	579.0	0.0	0.0	0.0	180.0	2734.0	142.0	1035.0	0.0	0.0	959.0	691.0	0.0	267.0	255.0	36.0	200.0	150.0	1349.0	133.0	1941.0	211.0	1510.0	2017.0	256.0	0.0	686.0	27.0	560.0	105.0	175.0	108.0	75.0	399.0	85.0	1013.0	529.0	1557.0	22.0	65.0	467.0	148.0	58.0	1534.0	328.0	0.0	381.0	250.0	0.0	1497.0	1457.0	0.0	0.0	471.0	59.0	0.0	3306.0	1293.0	2343.0	1326.0	98.0	553.0	482.0	27.0	1024.0	40.0	1089.0	442.0	27.0	154.0	0.0	9.0	0.0	760.0
77eb65a629fd6ba1dfe3d76ac25da591	0.0	2321.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	239.0	0.0	2258.0	0.0	48.0	0.0	584.0	0.0	2825.0	4121.0	0.0	6544.0	0.0	134.0	0.0	3882.0	197.0	0.0	74.0	0.0	84.0	0.0	0.0	7427.0	0.0	201.0	0.0	0.0	56.0	0.0	0.0	0.0	4695.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	531.0	0.0	42.0	702.0	0.0	0.0	0.0	0.0	634.0	0.0	2536.0	85.0	0.0	0.0	0.0	0.0	656.0	0.0	0.0	0.0	60.0	36.0	0.0	2629.0	0.0	0.0	282.0	0.0	1030.0	105.0	0.0	33.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0
7ace2a51ba1e96d765d446f4dd600564	35.0	2637.0	0.0	0.0	897.0	3384.0	34.0	1724.0	0.0	0.0	334.0	92.0	0.0	0.0	73.0	201.0	744.0	802.0	0.0	0.0	0.0	1659.0	0.0	1101.0	0.0	0.0	398.0	0.0	365.0	0.0	0.0	967.0	197.0	0.0	0.0	599.0	47.0	19.0	0.0	0.0	864.0	0.0	0.0	89.0	549.0	354.0	448.0	16.0	0.0	0.0	0.0	0.0	304.0	568.0	546.0	318.0	0.0	243.0	508.0	369.0	17.0	0.0	958.0	2387.0	68.0	1015.0	134.0	0.0	0.0	93.0	20.0	0.0	988.0	0.0	3579.0	865.0	77.0	659.0	2490.0	1424.0	1184.0	146.0	0.0	751.0	500.0	0.0	23.0	3073.0	52.0	63.0	0.0	121.0	1278.0	43.0	0.0	301.0
ab4e2f84f90a7817d1e68669a4766fe0	74.0	671.0	0.0	0.0	167.0	732.0	141.0	187.0	36.0	0.0	531.0	514.0	0.0	0.0	753.0	624.0	513.0	368.0	0.0	350.0	182.0	186.0	105.0	1566.0	0.0	3218.0	361.0	106.0	233.0	374.0	0.0	0.0	6.0	0.0	0.0	474.0	1007.0	98.0	176.0	209.0	1442.0	63.0	106.0	248.0	612.0	0.0	91.0	82.0	93.0	3913.0	16.0	0.0	438.0	291.0	246.0	923.0	537.0	54.0	1081.0	636.0	23.0	6.0	991.0	639.0	227.0	1158.0	479.0	0.0	391.0	2847.0	19.0	1190.0	875.0	0.0	1271.0	945.0	41.0	0.0	681.0	913.0	1868.0	889.0	54.0	379.0	244.0	103.0	50.0	169.0	105.0	124.0	1022.0	226.0	407.0	0.0	0.0	96.0
5259662ffc2972729d36ac93f1529168	0.0	0.0	5.0	0.0	0.0	134.0	15.0	0.0	0.0	0.0	1282.0	1800.0	965.0	5264.0	0.0	27.0	0.0	486.0	0.0	24.0	0.0	0.0	3743.0	0.0	0.0	0.0	0.0	954.0	32.0	0.0	0.0	0.0	1603.0	2453.0	0.0	0.0	0.0	0.0	384.0	180.0	0.0	482.0	2568.0	0.0	0.0	798.0	482.0	486.0	102.0	5818.0	170.0	1456.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	27.0	38.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3306.0	636.0	0.0	0.0	0.0	0.0	5847.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0
5d8487ff72bb386bfd63490326f2e05c	104.0	498.0	0.0	0.0	511.0	0.0	0.0	477.0	336.0	0.0	131.0	121.0	190.0	0.0	570.0	356.0	623.0	93.0	0.0	0.0	0.0	251.0	0.0	187.0	0.0	0.0	532.0	0.0	238.0	616.0	0.0	352.0	112.0	0.0	0.0	330.0	0.0	104.0	0.0	197.0	2393.0	0.0	0.0	71.0	480.0	357.0	236.0	64.0	94.0	0.0	225.0	0.0	130.0	44.0	433.0	2284.0	0.0	0.0	2008.0	124.0	0.0	0.0	918.0	185.0	111.0	1568.0	0.0	0.0	100.0	0.0	0.0	82.0	815.0	0.0	3161.0	261.0	241.0	0.0	1049.0	367.0	807.0	0.0	73.0	0.0	304.0	347.0	249.0	1371.0	0.0	139.0	8130.0	0.0	468.0	0.0	0.0	198.0
b0012b2bcde5cde2da9075006d6e5ebe	144.0	421.0	1170.0	6.0	681.0	819.0	20.0	268.0	254.0	0.0	424.0	2153.0	137.0	0.0	20.0	740.0	53.0	261.0	22.0	341.0	702.0	548.0	40.0	87.0	0.0	1782.0	134.0	552.0	308.0	0.0	114.0	12.0	60.0	286.0	0.0	20.0	0.0	122.0	693.0	210.0	96.0	37.0	438.0	443.0	0.0	277.0	0.0	250.0	254.0	0.0	0.0	596.0	57.0	411.0	0.0	68.0	35.0	486.0	1061.0	1311.0	359.0	103.0	1070.0	577.0	198.0	354.0	0.0	886.0	2552.0	391.0	22.0	0.0	224.0	0.0	2527.0	366.0	43.0	1081.0	1055.0	68.0	478.0	20.0	23.0	558.0	770.0	41.0	340.0	0.0	282.0	289.0	0.0	0.0	289.0	0.0	324.0	1265.0
e911d9fee363f0c78d5259259795d1de	0.0	3460.0	0.0	0.0	333.0	0.0	0.0	0.0	0.0	0.0	408.0	2620.0	7.0	0.0	0.0	0.0	0.0	1186.0	2.0	0.0	0.0	3628.0	0.0	4016.0	0.0	0.0	1373.0	329.0	0.0	588.0	0.0	0.0	0.0	0.0	0.0	1168.0	0.0	265.0	0.0	381.0	289.0	440.0	0.0	517.0	0.0	612.0	0.0	25.0	0.0	0.0	10.0	5.0	0.0	972.0	76.0	0.0	277.0	0.0	147.0	583.0	823.0	408.0	0.0	0.0	0.0	0.0	431.0	297.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	2847.0	0.0	0.0	0.0	341.0	0.0	0.0	1354.0	0.0	457.0	16.0	0.0	232.0	0.0	1133.0	0.0	0.0	0.0	0.0	0.0	0.0
