"OTU_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Domain","Phylum","Class","Order","Family","Genus","Species"
"c16146572bcee346e319d64e66b863d2",1.16546866307983,-3.46041297908802,0.526730506514127,-6.56960805628828,5.04478743675339e-11,2.1530772041389e-09,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_bergensis"
"e85483c9337072541d71a45b7d441d79",1.36148718841571,-3.73003581828989,0.578971412604216,-6.44252157720909,1.1750465226786e-10,4.92213932277591e-09,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"9b4ebcd382daeabfcbfefc8f25a337a3",2.11172678137679,-6.15071407981524,0.956629564642079,-6.42956720882499,1.27967769804596e-10,5.26296536905446e-09,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_corporis"
"d582762302e951beb557ddd39582192c",1.18851116388047,-3.38826541595405,0.531428417696671,-6.37577010021321,1.82045840363121e-10,7.35335162323893e-09,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__Corynebacterium_aurimucosum"
"41f5bb9589aed33de01393860abe0ed4",1.28077460087719,-3.4790245931079,0.558081917476457,-6.23389592846765,4.54975403824021e-10,1.8055339709648e-08,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas",NA
"8ae05bbd7f7ce180b046ddafb3346c43",1.15392120125777,-3.32290940546303,0.541319076149938,-6.13854111533774,8.32827588843135e-10,3.19297628129351e-08,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group",NA
"aff3ce1ac134e11de9094263a5e8605d",1.15392120125777,-3.32290940546303,0.541319076149938,-6.13854111533774,8.32827588843135e-10,3.19297628129351e-08,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__Clostridiales_bacterium"
"7458737dd1b48e89bcaa18a0b509a75a",2.75888616447982,-6.13906732818393,1.00360392940722,-6.11702201266783,9.53402010723819e-10,3.5943255804288e-08,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas",NA
"24c9ffcdc3186bcb9cc9619debacd2aa",7.29562631512443,-8.32835475794311,1.37252506666458,-6.06790721730288,1.29587728219395e-09,4.80536788905362e-08,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","s__gut_metagenome"
"844290a65809e8ef049ce1089d6802db",13.8775557157798,-8.82054091796496,1.47911995934009,-5.96337089650273,2.47086691749101e-09,9.01467897962044e-08,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__Prevotella_corporis"
"450b65a6218b0a0139a749aebf2d757b",1.17701889876131,-3.25075850703517,0.545434445953708,-5.95994354803009,2.52325084905003e-09,9.05967209611296e-08,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Porphyromonadaceae","g__Porphyromonas","s__Porphyromonas_somerae"
"28bf62a9e6dac4f749698b6dac8085e5",1.91527954346361,-5.34563630527075,0.938656609301471,-5.69498606018324,1.23382001405769e-08,4.36078261218513e-07,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus",NA
"2247b769fa1573e8b1f4036752cc4522",1.14237373943571,-3.17090624369672,0.559520114334077,-5.66718901155258,1.45159189346187e-08,4.8286777397217e-07,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcales-Tissierellales","g__Finegoldia","s__Finegoldia_sp."
"3152febc6bcd44887775b0844d5cc4bb",1.14237373943571,-3.17090624369672,0.559520114334077,-5.66718901155258,1.45159189346187e-08,4.8286777397217e-07,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__S5-A14a",NA
"533e504384dac3cf0b634ccb1ef93b61",1.14237373943571,-3.17090624369672,0.559520114334077,-5.66718901155258,1.45159189346187e-08,4.8286777397217e-07,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcales-Tissierellales","g__Murdochiella","s__unidentified_marine"
"fc0c97bd7dc20fea7d46650334d6d253",1.14237373943571,-3.17090624369672,0.559520114334077,-5.66718901155258,1.45159189346187e-08,4.8286777397217e-07,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcales-Tissierellales","g__W5053","s__unidentified_marine"
"bb25b2b90fc9b80f6b3c37599502f5d4",1.54662030447724,-4.24890273668936,0.823225633097087,-5.16128575917202,2.45259463336604e-07,8.04024501546955e-06,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Faecalitalea","s__Absiella_dolichum"
"3120904e1cfb673f7a7f0c3f64cce2b0",1.13082627761365,-3.00098115324195,0.582329624642466,-5.15340629473294,2.55796921370401e-07,8.26589480199783e-06,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__Varibaculum","s__Varibaculum_sp."
"1b325c31e8487d9abd2c72ad7fe90371",1.11927881579159,-2.80833596252378,0.611278363170274,-4.59420148287092,4.34409501370075e-06,0.000136476985013765,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Mogibacterium","s__uncultured_Eubacteriaceae"
"da86c8864bba7dc1ed2b6e6582a6a1a0",1.11927881579159,-2.80833596252378,0.611278363170274,-4.59420148287092,4.34409501370075e-06,0.000136476985013765,"d__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium",NA
"c1478af69a8834a8eb67f7480f36218e",2.37879481289781,-5.87133173483013,1.32462234535228,-4.43245711159181,9.31652385800383e-06,0.000288684615983625,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__uncultured_organism"
"c1e4610cde80df27d8ed2eb42a1f39b6",2.45842216299132,-5.17245863657734,1.22650168458634,-4.21724544008422,2.47304752202434e-05,0.000755950472272846,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Allisonella","s__uncultured_bacterium"
"8e95ce80d0ebe81f1c2eea3be44cf14a",1.55803253461359,-3.84581476413423,0.953756197722853,-4.03228285521639,5.52376462489934e-05,0.00166596741086964,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__[Clostridium]_innocuum_group",NA
"b0a62e71e65e88b60b33cbe03a35b0c7",3.79599502289669,-5.68452321028696,1.44048026697497,-3.94626940792778,7.93782954740883e-05,0.00233186629042062,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Megasphaera","s__uncultured_organism"
"f45565661d8b6ea05adf91e59ffd5ec8",1.62663321615351,-3.74421559935248,0.948669988831791,-3.94680515187707,7.92009601919356e-05,0.00233186629042062,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea",NA
"972f8433ddfe1a1d573b227ce0d95482",2.14602123962724,-4.9344203541908,1.30115314229098,-3.79234403223484,0.00014923197702848,0.00432772733382591,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA
"e48f8397870c2faca5a0f24cf65e3b36",1.36182793560924,-3.17090191543166,0.849201849645422,-3.73397904956948,0.000188478179369941,0.00539667900930135,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__[Clostridium]_scindens"
"4ea55325694641619c2f89618d647835",619.730374505745,9.02880294613781,2.59292848892274,3.48208713996926,0.000497521761914249,0.0140674278181254,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_uniformis"
"ab4e2f84f90a7817d1e68669a4766fe0",499.275134812201,8.71548875728654,2.59278308982629,3.36144153033274,0.000775367707787533,0.0216528611730296,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_merdae"
